,"
","

MCLR TENOR
","
","

Existing w.e.f. 01.01.2023
","
","

Revised w.e.f. 01.02.2023
","
"
0,"
","
Overnight","
","
														7.80%","
","
7.90%","
"
1,"
","
One month","
","
														7.90%","
","
8.00%","
"
2,"
","
Three month","
","
														8.00%","
","
8.10%","
"
3,"
","
Six month","
","
														8.20%","
","
8.30%","
"
4,"
","
One year","
","
														8.30%","
","
8.40%","
"
5,"
","
Three years","
","
														8.60%","
","
8.70%","
"
